token	pos	etymology	family	freq	freq_family	freq_bins_12	freq_bins_4	family_size	family_membership	family_with_prefix	cognate	family_has_verb	family_with_altradical	tokens_per_family	verbs_per_family	adjectives_per_family	nomadjective_per_family	nouns_per_family	adverbsconjs_per_family	length	length_family_sum	length_family_mean	sentiment	register	domains_124	domains_47
impétratoire	A	Latin	4950	1	7	12	4	2	Fm	0	1	1	0	5	1	2	0	2	0	12			0			
impétrer	V	Latin	4950	1	7	12	4	2	Fm	0	1	1	0	5	1	2	0	2	0	8			0			
impétrable	A	Latin	4950	1	7	12	4	2	Fm	0	1	1	0	5	1	2	0	2	0	10			0			
impétueux	A	Latin	4951	149	246	7	3	1	TFm	0	1	0	0	3	0	1	0	1	1	9	34	11.33	0		psychologie	Trop
impétuosité	S	Latin	4951	65	246	8	3	1	Fm	0	1	0	0	3	0	1	0	1	1	11			0			
impétueusement	D	Latin	4951	32	246	9	3	1	Fm	0	1	0	0	3	0	1	0	1	1	14			0			
implacable	A	Latin	4952	533	601	5	2	1	TFm	0	1	0	0	3	0	1	0	1	1	10	37	12.33	0		psychologie	FOURRETOUT
implacablement	D	Latin	4952	59	601	8	2	1	Fm	0	1	0	0	3	0	1	0	1	1	14			0			
implacabilité	S	Latin	4952	9	601	10	2	1	Fm	0	1	0	0	3	0	1	0	1	1	13			0			
implémenter	V	Latin	4953	1	2	12	4	1	TFm	0	1	1	0	2	1	0	0	1	0	11	25	12.5	0		informatique	FOURRETOUT
implementation	S	Latin	4953	1	2	12	4	1	Fm	0	1	1	0	2	1	0	0	1	0	14			0			
impliquer	V	Latin	4954	1144	1416	4	2	2	TFm	0	1	1	0	4	1	1	0	2	0	9	36	9	0		philosophie	FOURRETOUT
impliqué	A	Latin	4954	206	1416	6	2	2	Fm	0	1	1	0	4	1	1	0	2	0	8			0			
implication	S	Latin	4954	65	1416	8	2	2	Fm	0	1	1	0	4	1	1	0	2	0	11			0			
implicat	S	Latin	4954	1	1416	12	2	2	Fm	0	1	1	0	4	1	1	0	2	0	8			0			
importance	S	Latin	4955	3683	7186	4	2	2	TFm	0	1	1	0	4	1	1	0	2	0	10	42	10.5	0		quantité, quantitatif	Plusieurs
important	A	Latin	4955	3501	7186	4	2	2	Fm	0	1	1	0	4	1	1	0	2	0	9			0			
importantissime	S	Latin	4955	1	7186	12	2	2	Fm	0	1	1	0	4	1	1	0	2	0	15			0			
Importer	V	Latin	4955	1	7186	12	2	2	Fm	0	1	1	0	4	1	1	0	2	0	8			0			
importun	A	Latin	4956	299	971	6	2	3	TFm	1	1	1	0	13	1	4	1	5	3	8	145	11.15	0		psychologie	Trop
importuner	V	Latin	4956	97	971	8	2	3	Fm	1	1	1	0	13	1	4	1	5	3	10			0			
importuné	A	Latin	4956	24	971	9	2	3	Fm	1	1	1	0	13	1	4	1	5	3	9			0			
importunément	D	Latin	4956	2	971	11	2	3	Fm	1	1	1	0	13	1	4	1	5	3	13			0			
importunité	S	Latin	4956	26	971	9	2	3	Fm	1	1	1	0	13	1	4	1	5	3	11			0			
inopportun	A	Latin	4956	70	971	8	2	3	Fm	1	1	1	0	13	1	4	1	5	3	10			0			
